DataLabel,TE1,TE2,TE3,TE4,Program Number,Batch Status
330,122.04505494505494,122.27252747252747,122.27802197802197,122.26813186813186,17,OK
331,,,,,2,Maintenance
332,,,,,1,Maintenance
333,122.00161290322582,122.23870967741935,122.2290322580645,122.22096774193548,12,OK
334,121.57802197802198,121.77802197802197,121.77472527472527,121.76868131868133,8,OK
335,122.03516483516482,122.27197802197803,122.27637362637363,122.26703296703296,17,OK
336,122.0554945054945,122.27032967032967,122.27692307692307,122.26593406593405,17,OK
337,122.04395604395604,122.27307692307693,122.27527472527471,122.26648351648352,17,OK
338,,,,,2,Maintenance
339,,,,,1,Maintenance
340,122.04677419354839,122.24032258064516,122.24032258064516,122.2290322580645,12,OK
341,122.07197802197801,122.29010989010989,122.28406593406594,122.27857142857144,17,OK
342,122.04835164835164,122.27912087912088,122.28241758241757,122.27087912087912,17,OK
343,122.04725274725274,122.27527472527471,122.27582417582418,122.26813186813186,17,OK
344,,,,,2,Maintenance
345,,,,,1,Maintenance
346,122.04032258064517,122.26129032258065,122.26451612903226,122.25,12,OK
347,121.7,121.975,121.975,121.975,11,FAILED
348,122.04227642276422,122.50975609756098,122.58373983739838,122.5780487804878,11,OK
349,122.05409836065574,122.27213114754097,122.27459016393442,122.26885245901639,11,OK
350,,,,,2,Maintenance
351,,,,,1,Maintenance
352,122.04285714285714,122.24603174603175,122.24920634920635,122.23333333333333,12,OK
353,122.10329670329669,122.28131868131868,122.27692307692307,122.26978021978022,17,OK
354,122.07912087912086,122.28626373626373,122.28791208791208,122.28296703296704,17,OK
355,,,,,2,Maintenance
356,,,,,1,Maintenance
357,122.03064516129032,122.25,122.24032258064516,122.23387096774194,12,OK
358,122.08681318681319,122.28901098901098,122.28516483516482,122.28186813186812,17,OK
359,122.0659420289855,122.27246376811593,122.26811594202898,122.25797101449274,17,FAILED
360,122.00604395604395,122.27857142857144,122.28131868131868,122.27032967032967,17,OK
361,121.55329670329671,121.77362637362637,121.77362637362637,121.75604395604395,8,OK
362,,,,,2,Maintenance
363,,,,,1,Maintenance
364,121.95645161290322,122.25,122.24516129032257,122.23548387096774,12,OK
365,121.99010989010989,122.28186813186812,122.28021978021978,122.27472527472527,17,OK
366,122.00273224043715,122.2983606557377,122.28032786885245,122.27540983606556,17,OK
367,,,,,2,Maintenance
368,,,,,1,Maintenance
369,121.9758064516129,122.26129032258065,122.24516129032257,122.23387096774194,12,OK
370,122.0510989010989,122.28241758241757,122.27857142857144,122.27142857142856,17,OK
371,122.05384615384615,122.28461538461538,122.28186813186812,122.27692307692307,17,OK
372,,,,,1,Maintenance
373,122.03225806451613,122.27258064516128,122.25161290322582,122.25,12,OK
374,122.02903225806452,122.26290322580645,122.26612903225806,122.24838709677418,12,OK
375,,,,,2,Maintenance
376,,,,,1,Maintenance
377,,,,,2,Maintenance
378,,,,,2,Maintenance
379,,,,,1,Maintenance
380,122.0258064516129,122.26290322580645,122.24032258064516,122.23709677419355,12,OK
