DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status
211,2.1083870967741936,121.99838709677418,122.28225806451611,122.24032258064516,122.28870967741936,12,1
212,2.1,121.6,121.9,121.9,122.0,17,0
213,2.0,96.68571429,118.6714286,118.5,118.6,1,0
214,3.15,27.0,27.2,27.4,27.3,2,0
215,0.08,19.7,19.7,19.8,19.8,1,0
216,2.108688524590164,122.03934426229507,122.30081967213115,122.26803278688524,122.31147540983606,11,1
217,2.1,121.7,121.98,121.96,122.0,17,0
218,0.08,19.7,19.7,19.8,19.8,1,0
219,2.108064516129032,121.98548387096774,122.27580645161292,122.23548387096774,122.28709677419356,12,1
220,2.1,121.75714285714284,121.95714285714288,121.95714285714288,122.01428571428572,17,0
221,2.1093406593406594,122.0467032967033,122.27967032967032,122.26758241758242,122.28461538461538,17,1
222,2.1092857142857144,122.06043956043956,122.28131868131868,122.26648351648352,122.28461538461538,17,1
223,2.1092857142857144,122.06373626373626,122.28241758241757,122.2741758241758,122.28626373626372,17,1
224,0.08,19.7,19.7,19.8,19.8,1,0
225,2.108064516129032,122.00967741935484,122.26290322580644,122.24354838709678,122.28064516129032,12,1
226,2.0768013468013464,121.5993265993266,121.8020202020202,121.77441077441075,121.81582491582492,8,0
227,2.0776785714285717,121.47857142857144,121.80892857142858,121.77678571428572,121.80357142857144,8,0
228,2.1093406593406594,122.05714285714284,122.28241758241757,122.27087912087912,122.28296703296704,17,1
229,2.1,121.75714285714284,122.01428571428572,121.95714285714288,122.02857142857144,17,0
230,3.15,27.0,27.2,27.4,27.3,2,0
231,0.08,19.7,19.7,19.8,19.8,1,0
232,2.109032258064516,122.02903225806452,122.2741935483871,122.24838709677418,122.29193548387096,12,1
233,2.1,121.75,121.96666666666664,121.96666666666664,122.01666666666668,17,0
234,2.105,121.8,122.0875,122.025,122.075,11,0
235,2.1081967213114754,122.02213114754096,122.3,122.27704918032786,122.30901639344265,11,1
236,0.08,19.7,19.7,19.8,19.8,1,0
237,2.1083870967741936,121.9758064516129,122.25483870967744,122.24516129032256,122.21129032258064,12,1
238,2.109175824175824,122.04450549450549,122.27802197802195,122.26758241758242,122.24175824175823,17,1
239,3.15,27.0,27.2,27.4,27.3,2,0
240,0.08,19.7,19.7,19.8,19.8,1,0
241,2.108225806451613,122.01774193548388,122.28548387096774,122.25161290322582,122.23709677419356,12,1
242,2.109120879120879,122.06263736263736,122.3076923076923,122.27472527472528,122.26923076923076,17,1
243,3.15,27.0,27.2,27.4,27.3,2,0
244,0.08,19.7,19.7,19.8,19.8,1,0
245,2.1088709677419355,122.0,122.27903225806452,122.24193548387096,122.22258064516129,12,1
246,2.109230769230769,122.06813186813186,122.28076923076922,122.2686813186813,122.24065934065932,17,1
247,2.109230769230769,122.06703296703296,122.28021978021978,122.27362637362636,122.25549450549453,17,1
248,3.15,27.0,27.2,27.4,27.3,2,0
249,0.08,19.7,19.7,19.8,19.8,1,0
250,2.1087096774193546,122.02258064516128,122.26612903225806,122.24193548387096,122.22419354838708,12,1
251,2.1093406593406594,122.00769230769232,122.28296703296704,122.2741758241758,122.23846153846156,17,1
252,2.1095054945054947,122.00494505494508,122.28351648351648,122.27582417582418,122.23846153846156,17,1
